transaction_date,transaction_id,transaction_amount
2022-09-17,WeKuSlJdWG0OfbkteXN5,1000
2022-09-16,bypPVdMn7iydzNwsYBZl,2000
2022-09-15,k7ZEkPT3nV078GbXdjX9,2000
2022-09-22,KSKjgWG5f3vFj7mCh6Sf,1500
2022-09-16,6NkQBzah4sUEWaO31gQv,1000
2022-09-15,pzgvFUFcLFMiTXpWI70b,2000
2022-09-26,MoHQX5IyC3DGmS1UIewQ,1500
2022-09-19,LK4sKorc05JtmAwQrBhg,1500
2022-09-20,uUQkKZt3GJoTy7thszIX,1500
2022-09-20,BoRL9I3yyEvTrvJdppxw,1500
2022-09-06,HXYbcGhQI8uQwafwC1sO,1000
2022-09-16,SBOQBb28iVosBGrJBAHx,2000
2022-09-15,OAEkwGPRztGR1LX1QlCB,1500
2022-09-15,rJ5e5FJxksd5TRpTZHE5,1500
2022-09-17,inW0PJI2J7svclG0dQrb,2000
2022-09-16,46ECRZsv0RPl61xXfY9V,2000
2022-09-16,xGibyytPhUvyrHjmNIVd,1000
2022-09-16,sfSaT8bgCKayPRQHJU9l,2000
2022-09-16,Raa0bBGtFilXz9pe8934,2000
2022-09-16,in8k1HTbw6Yqn3hWBVbf,1500
2022-09-19,sNLeNBrVossYXbN5F2j4,1000
2022-09-20,HUasMDDQvG1rsP9nkl8P,1000
2022-09-17,Gr5kpDXImgisLbhmNjp9,2000
2022-09-17,gAFAlJMxUrrcOTfkdddV,2000
2022-09-16,OCIDNwPij3w2KV9p1EdZ,1500
2022-09-15,IQShoI9MQAVUclgrklqc,2000
2022-09-17,GIVZQh2g3M8PeLPAURcG,1500
2022-09-13,Y4PbCSkew19yMnRF8klI,2000
2022-09-17,eKUVm1ztzyjX5KlS7cbA,3000
2022-09-15,8X6QGp9F5KNZmHeDvaeX,2000
2022-09-15,Kcpbbajfp2cCkspQnACW,1000
2022-09-17,yqbS6xdnRUkcvmtoWRzQ,1500
2022-09-18,5Asfgl5lPNrKFb0F7b8r,1500
2022-09-03,5cQVhegf4GEMHmNt6MNY,1000
2022-09-17,9GLgBgzYZjw5YEZmUnl4,1500
2022-09-15,VAaOiiVhH4v8dqrOvQx5,3000
2022-09-17,sXTW0hNGgZq3ZkztwhfP,1500
2022-09-16,XMZRT2ZlNBY9OPHUiqou,2000
2022-09-07,u7ptItV9J0lMYtq9xUrZ,1000
2022-09-13,wc3rbIghMND1aLTK7AmJ,2000
2022-09-16,znsMYWSAEeiPV92LlSjy,1000
2022-09-16,ZhFn4YGmv3oXoAXOpgJj,2000
2022-09-17,oyocBBhnANhRIEYY9mYC,1500
2022-09-13,6V7y60rm5HQ1jrwRF22s,3500
2022-09-06,rb5fwehqGZFwlJo2meRw,2000
2022-09-19,HRGPbOpTXfcX86lDpAHd,1500
2022-09-14,vMFVIQgLwr29XeiI2Fro,2000
2022-09-18,uC9ufPRjauuMbaY6xyz6,2000
